fecha,apertura,maximo,minimo,cierre,volumen,openint
"2018-03-06","102.50000","102.599","102.25","102.40000","30858304","0"
"2018-03-07","102.50000","102.65","102.45","102.50000","10696901","0"
"2018-03-08","103.00000","103","102.8","102.80000","2248003","0"
"2018-03-09","103.00000","103","102.8","103.00000","6745773","0"
"2018-03-12","103.05000","103.1","102.95","103.10000","9750000","0"
"2018-03-13","103.05000","103.1","103","103.10000","6517700","0"
"2018-03-14","103.10000","103.1","103","103.05000","273688064","0"
"2018-03-15","103.10000","103.15","103.1","103.15000","171000","0"
"2018-03-16","103.20000","103.35","103.2","103.35000","1862750","0"
"2018-03-19","103.50000","103.75","103.4","103.50000","4732200","0"
"2018-03-20","103.50000","103.5","103.5","103.50000","618021","0"
"2018-03-21","103.70000","103.7","103.7","103.70000","1500000","0"
"2018-03-22","103.80000","104.05","103.8","103.98000","2927250","0"
"2018-03-23","104.20000","104.2","104.2","104.20000","3000000","0"
"2018-03-26","104.40000","104.4","104.4","104.40000","135350","0"
"2018-03-27","105.00000","105.3","105","105.30000","1665000","0"
"2018-03-28","105.35000","106.5","105.3","106.50000","4519381","0"
"2018-04-03","106.50000","106.5","106.3","106.30000","104250","0"
"2018-04-04","106.20000","106.3","106.2","106.30000","3168496","0"
"2018-04-05","106.00000","106.2","106","106.20000","2947223","0"
"2018-04-06","106.20000","106.2","106.2","106.20000","9000","0"
"2018-04-09","105.90000","105.9","105.9","105.90000","197857","0"
"2018-04-10","105.70000","105.8","105.7","105.70000","6519000","0"
"2018-04-12","105.70000","105.8","105.7","105.80000","2981372","0"
"2018-04-13","106.10000","106.1","106.1","106.10000","946725","0"
"2018-04-17","106.10000","106.1","106.1","106.10000","3000","0"
"2018-04-20","105.70000","105.7","105.2","105.20000","239700","0"
"2018-04-23","105.35000","105.35","105.35","105.35000","17085","0"
"2018-04-25","105.35000","105.35","105.35","105.35000","235400","0"
"2018-05-07","102.00000","102","102","102.00000","1000000","0"
"2018-05-10","97.00000","97","97","97.00000","48000","0"
"2018-05-11","97.00000","97","96","96.00000","628143","0"
"2018-05-14","95.50000","97","95.5","96.00000","578400","0"
"2018-05-15","97.50000","99","97.5","98.26100","38575856","0"
"2018-05-17","101.90000","101.9","101.9","101.90000","33500","0"
"2018-05-18","103.00000","103","103","103.00000","3000","0"
"2018-05-21","103.00000","106","103","103.25000","147478","0"
"2018-05-22","103.50000","103.85","103.5","103.85000","4802750","0"
"2018-05-23","104.00000","104","103.75","103.75000","2013390","0"
"2018-05-24","103.25000","103.25","103.25","103.25000","3300000","0"
"2018-05-28","103.25000","103.25","103.25","103.25000","10000","0"
"2018-05-29","100.00000","103.5","100","103.50000","15156297","0"
"2018-05-30","101.00000","101.5","100.75","101.50000","1162710","0"
