fecha,apertura,maximo,minimo,cierre,volumen,openint
"2018-07-17","2757.00000","2830","2757","2830.00000","81200","0"
"2018-07-23","2860.00000","2860","2860","2860.00000","7496","0"
"2018-07-24","2860.00000","2860","2860","2860.00000","20000","0"
"2018-07-25","2865.00000","2865","2865","2865.00000","523","0"
"2018-07-26","2865.00000","2865","2840","2840.00000","5730","0"
"2018-07-27","2810.00000","2810","2810","2810.00000","47135","0"
"2018-08-01","2810.00000","2845","2810","2845.00000","120470","0"
"2018-08-03","2845.00000","2845","2845","2845.00000","3021","0"
"2018-08-06","2840.00000","2840","2840","2840.00000","3273","0"
"2018-08-07","2825.00000","2860","2825","2852.00000","236199","0"
"2018-08-08","2830.00000","2830","2830","2830.00000","21267","0"
"2018-08-09","2845.00000","2910","2845","2910.00000","95598","0"
"2018-08-14","2999.00000","2999","2999","2999.00000","6000","0"
"2018-08-15","3000.00000","3000","3000","3000.00000","201400","0"
"2018-08-16","2970.00000","2980","2970","2980.00000","35128","0"
"2018-08-17","2980.00000","2980","2980","2980.00000","400","0"
"2018-08-21","3030.00000","3030","3027","3028.00000","48339","0"
"2018-08-22","3028.00000","3028","3028","3028.00000","617","0"
"2018-08-23","3028.00000","3050","3020","3020.00000","52600","0"
"2018-08-28","3020.00000","3085","3020","3085.00000","108168","0"
"2018-08-29","3070.00000","3085","3070","3085.00000","460518","0"
"2018-08-30","3120.00000","3120","3115","3115.00000","450","0"
"2018-08-31","3115.00000","3340","3115","3340.00000","149655","0"
"2018-09-03","3340.00000","3340","3340","3340.00000","3700","0"
"2018-09-04","3425.00000","3425","3420","3420.00000","18020","0"
"2018-09-05","3500.00000","3500","3400","3400.00000","1340","0"
"2018-09-10","3500.00000","3500","3500","3500.00000","1000","0"
"2018-09-11","3500.00000","3500","3500","3500.00000","2857","0"
"2018-09-13","3501.00000","3501","3500","3500.00000","10000","0"
"2018-09-14","3535.00000","3570","3535","3570.00000","7798","0"
"2018-09-17","3600.00000","3650","3600","3650.00000","82002","0"
"2018-09-18","3651.00000","3715","3651","3700.00000","16063","0"
"2018-09-19","3700.00000","3700","3700","3700.00000","200","0"
"2018-09-21","3699.00000","3699","3699","3699.00000","5842","0"
"2018-09-27","3700.00000","3700","3700","3700.00000","200000","0"
"2018-10-02","3680.00000","3680","3680","3680.00000","200","0"
"2018-10-09","3670.00000","3670","3670","3670.00000","10","0"
"2018-10-10","3530.00000","3530","3530","3530.00000","2000","0"
"2018-10-12","3400.00000","3400","3400","3400.00000","350","0"
"2018-10-19","3350.00000","3400","3350","3400.00000","1010","0"
"2018-10-29","3470.00000","3470","3470","3470.00000","2000","0"
"2018-10-30","3495.00000","3495","3495","3495.00000","739","0"
"2018-10-31","3500.00000","3500","3500","3500.00000","100","0"
"2018-11-07","3550.00000","3550","3550","3550.00000","100","0"
"2018-11-09","3550.00000","3550","3550","3550.00000","225","0"
"2018-11-12","3360.00000","3360","3360","3360.00000","2300","0"
"2018-11-14","3360.00000","3405","3360","3370.00000","27628","0"
"2018-11-21","3450.00000","3450","3450","3450.00000","940","0"
"2018-11-22","3450.00000","3450","3450","3450.00000","1900","0"
"2018-11-23","3450.00000","3450","3450","3450.00000","8896","0"
"2018-11-27","3500.00000","3500","3500","3500.00000","975","0"
"2018-12-04","3490.00000","3500","3490","3500.00000","8512","0"
"2018-12-07","3550.00000","3550","3540","3540.00000","310","0"
"2018-12-11","3570.00000","3670","3570","3670.00000","1503","0"
"2018-12-12","3670.00000","3670","3670","3670.00000","1376","0"
"2018-12-17","3670.00000","3670","3630","3630.00000","5420","0"
"2018-12-18","3700.00000","3700","3700","3700.00000","399","0"
"2018-12-19","3650.00000","3650","3650","3650.00000","416","0"
"2018-12-28","3550.00000","3550","3550","3550.00000","5000","0"
"2019-01-03","3600.00000","3600","3600","3600.00000","300","0"
"2019-01-07","3600.00000","3600","3600","3600.00000","100","0"
"2019-01-09","3526.00000","3526","3526","3526.00000","10","0"
"2019-01-15","3520.00000","3600","3520","3597.00000","48638","0"
"2019-01-16","3600.00000","3600","3600","3600.00000","2250","0"
"2019-01-17","3620.00000","3620","3620","3620.00000","1376","0"
"2019-01-21","3625.00000","3625","3625","3625.00000","637","0"
"2019-01-23","3630.00000","3670","3630","3670.00000","18386","0"
"2019-02-01","3640.00000","3640","3625","3625.00000","1130","0"
"2019-02-04","3600.00000","3600","3590","3590.00000","5300","0"
"2019-02-05","3580.00000","3618","3580","3615.00000","3300","0"
"2019-02-06","3615.00000","3615","3615","3615.00000","8275","0"
"2019-02-08","3680.00000","3700","3680","3700.00000","1555","0"
"2019-02-11","3710.00000","3710","3684","3684.00000","72381","0"
"2019-02-12","3690.00000","3690","3670","3675.00000","20078","0"
"2019-02-14","3725.00000","3725","3725","3725.00000","29565","0"
"2019-02-15","3775.00000","3775","3770","3775.00000","1679","0"
"2019-02-18","3800.00000","3815","3800","3810.00000","3147","0"
"2019-02-19","3800.00000","3800","3800","3800.00000","712","0"
"2019-02-21","3857.00000","3900","3857","3900.00000","1733","0"
"2019-02-22","3842.00000","3842","3842","3842.00000","165","0"
"2019-02-25","3842.00000","3842","3840","3840.00000","1385","0"
"2019-02-26","3840.00000","3840","3800","3800.00000","1774","0"
"2019-02-27","3800.00000","3800","3800","3800.00000","4732","0"
"2019-03-06","3940.00000","3940","3940","3940.00000","76000","0"
"2019-03-07","3950.00000","3950","3950","3950.00000","2372","0"
"2019-03-08","4000.00000","4000","4000","4000.00000","4732","0"
"2019-03-11","4000.00000","4000","4000","4000.00000","125","0"
"2019-03-12","3995.00000","3995","3995","3995.00000","7062","0"
