fecha,apertura,maximo,minimo,cierre,volumen,openint
"2016-03-04","99.50000","99.5","99.5","99.50000","600000","0"
"2016-03-07","99.50000","99.6","99.35","99.35000","3315000","0"
"2016-03-09","100.75000","101.5","100.75","101.00000","26520848","0"
"2016-03-10","101.50000","101.5","101.2","101.20000","637629","0"
"2016-03-15","100.55000","101","100.55","101.00000","10006930","0"
"2016-03-16","101.00000","101","101","101.00000","86570","0"
"2016-03-17","101.00000","101","101","101.00000","344770","0"
"2016-03-18","100.95000","100.95","100.95","100.95000","5000000","0"
"2016-03-21","101.35000","101.35","101.35","101.35000","73260","0"
"2016-03-23","100.75000","100.75","100.75","100.75000","50000","0"
"2016-03-29","101.40000","101.4","101.15","101.15000","535000","0"
"2016-03-31","101.75000","101.75","101.75","101.75000","14700","0"
"2016-04-05","102.50000","102.5","102.15","102.15000","602689","0"
"2016-04-06","102.50000","102.5","102.35","102.35000","25500","0"
"2016-04-07","102.50000","102.5","102.3","102.30000","5843368","0"
"2016-04-08","102.50000","102.5","102.4","102.40000","1302853","0"
"2016-04-11","102.75000","102.75","102.75","102.75000","160583","0"
"2016-04-13","102.00000","102","102","102.00000","200000","0"
"2016-04-18","102.00000","102","102","102.00000","3400","0"
"2016-04-19","102.50000","102.5","102.5","102.50000","331789","0"
"2016-04-20","102.25000","102.25","102","102.00000","1500000","0"
"2016-04-21","102.50000","102.5","102","102.00000","208170","0"
"2016-04-25","102.00000","102.55","102","102.45000","4877600","0"
"2016-04-26","102.70000","102.7","102.7","102.70000","1250000","0"
"2016-04-28","102.20000","103.5","102.2","103.50000","25308000","0"
"2016-05-02","105.00000","105","105","105.00000","9523","0"
"2016-05-03","105.25000","105.25","105","105.00000","10237529","0"
"2016-05-04","106.00000","106","105.5","106.00000","1620792","0"
"2016-05-05","105.70000","105.7","105.7","105.70000","60000","0"
"2016-05-06","104.80000","104.8","104.8","104.80000","50000","0"
"2016-05-10","105.00000","105","104.85","104.90000","73320","0"
"2016-05-11","105.15000","105.15","104.8","104.80000","2472901","0"
"2016-05-12","105.00000","105","105","105.00000","178800","0"
"2016-05-13","105.50000","105.5","105.5","105.50000","208762","0"
"2016-05-16","105.50000","105.7","105.5","105.70000","2728127","0"
"2016-05-17","106.00000","106","105.8","105.80000","1012738","0"
"2016-05-18","106.00000","106.25","106","106.25000","2134500","0"
"2016-05-19","107.00000","107","107","107.00000","41500","0"
"2016-05-20","107.00000","107","106.9","106.90000","163287","0"
"2016-05-23","107.00000","107.25","107","107.25000","735000","0"
"2016-05-27","105.00000","105","105","105.00000","500000","0"
"2016-05-30","104.00000","104","103","104.00000","1075040","0"
"2016-05-31","104.25000","104.25","104.25","104.25000","1000271","0"
"2016-06-01","104.60000","105.25","104.6","105.25000","192780","0"
"2016-06-02","105.50000","105.75","105.5","105.75000","695496","0"
"2016-06-03","106.00000","106.05","106","106.05000","154201","0"
"2016-06-06","106.00000","107","106","106.60000","8633154","0"
"2016-06-07","106.60000","107","106.6","106.90000","15919802","0"
"2016-06-08","107.25000","107.25","107","107.25000","702711","0"
"2016-06-09","107.45000","107.45","106.15","107.00000","2060794","0"
"2016-06-10","106.30000","107","106.2","107.00000","86077264","0"
"2016-06-13","106.50000","106.5","106.5","106.50000","469000","0"
"2016-06-14","106.65000","106.65","106.5","106.65000","140960","0"
"2016-06-15","106.65000","106.75","106.5","106.75000","300483","0"
"2016-06-16","106.50000","107","106.5","107.00000","33628","0"
"2016-06-21","107.50000","107.5","107","107.00000","12351835","0"
"2016-06-24","106.00000","106.4","106","106.40000","214907","0"
"2016-06-27","107.00000","107.5","106","106.00000","5597213","0"
"2016-06-28","106.00000","106.5","106","106.00000","2189431","0"
"2016-06-29","106.10000","107","106","106.50000","1338813","0"
"2016-06-30","106.50000","107","106.5","107.00000","153028","0"
"2016-07-01","107.00000","107.25","107","107.00000","2618549","0"
"2016-07-04","107.00000","108","107","107.50000","13078376","0"
"2016-07-05","108.50000","108.5","108","108.50000","141604","0"
"2016-07-06","108.00000","108.5","107.5","108.50000","6786782","0"
"2016-07-07","108.75000","108.75","108.5","108.50000","3381494","0"
"2016-07-11","108.50000","108.5","108.5","108.50000","12200000","0"
"2016-07-12","108.90000","108.9","108.5","108.75000","973333","0"
